zip_code,year,quarter,sector,place_name,latitude,longitude,opportunity_score,consumption_kwh,price_cents_per_kwh,total_cost_usd,estimated_annual_cost_usd,consumption_intensity,solar_ghi_kwh_m2_day,solar_dni_kwh_m2_day,solar_tilt_kwh_m2_day,installations_count,installed_capacity_kw,avg_installation_size_kw,cumulative_installations,cumulative_capacity_kw,adoption_rate,installation_growth_qoq,co2_emissions_factor,potential_co2_reduction_tons
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1411358.0,31.649999618530273,446694.8125,1786779.2,1.4113579988479614,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1432126.0,32.65999984741211,467732.34375,1870929.4,1.4321260452270508,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1411358.0,32.65999984741211,460949.53125,1843798.1,1.4113579988479614,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1176658.0,32.040000915527344,377001.21875,1508004.9,1.176658034324646,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1176658.0,31.649999618530273,372412.25,1489649.0,1.176658034324646,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1176658.0,32.65999984741211,384296.5,1537186.0,1.176658034324646,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,26.920000076293945,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,26.920000076293945,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,24.389999389648438,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,24.389999389648438,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,26.940000534057617,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,26.940000534057617,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,26.920000076293945,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,24.389999389648438,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,26.940000534057617,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1220326.0,34.709999084472656,423575.15625,1694300.6,1.2203259468078613,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1260094.0,34.709999084472656,437378.625,1749514.5,1.2600940465927124,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1466986.0,34.709999084472656,509190.84375,2036763.4,1.4669859409332275,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1220326.0,31.889999389648438,389161.96875,1556647.9,1.2203259468078613,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1260094.0,31.889999389648438,401843.96875,1607375.9,1.2600940465927124,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1466986.0,31.889999389648438,467821.84375,1871287.4,1.4669859409332275,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1220326.0,33.599998474121094,410029.53125,1640118.1,1.2203259468078613,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1260094.0,33.599998474121094,423391.59375,1693566.4,1.2600940465927124,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,4,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1466986.0,33.599998474121094,492907.28125,1971629.1,1.4669859409332275,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92136,2025,1,c,san diego,32.6834,-117.1219,0.9456634961212844,0.0,23.899999618530273,0.0,0.0,0.0,5.18,5.44,5.92,0,0.0,,0,0.0,0.0,,,
92136,2025,1,c,san diego,32.6834,-117.1219,0.9456634961212844,0.0,23.899999618530273,0.0,0.0,0.0,5.18,5.44,5.92,0,0.0,,0,0.0,0.0,,,
92136,2025,1,c,san diego,32.6834,-117.1219,0.9456634961212844,0.0,24.200000762939453,0.0,0.0,0.0,5.18,5.44,5.92,0,0.0,,0,0.0,0.0,,,
92136,2025,1,c,san diego,32.6834,-117.1219,0.9456634961212844,0.0,24.200000762939453,0.0,0.0,0.0,5.18,5.44,5.92,0,0.0,,0,0.0,0.0,,,
92136,2025,1,c,san diego,32.6834,-117.1219,0.9456634961212844,0.0,23.84000015258789,0.0,0.0,0.0,5.18,5.44,5.92,0,0.0,,0,0.0,0.0,,,
92136,2025,1,c,san diego,32.6834,-117.1219,0.9456634961212844,0.0,23.84000015258789,0.0,0.0,0.0,5.18,5.44,5.92,0,0.0,,0,0.0,0.0,,,
92136,2025,1,c,san diego,32.6834,-117.1219,0.9456634961212844,0.0,23.899999618530273,0.0,0.0,0.0,5.18,5.44,5.92,0,0.0,,0,0.0,0.0,,,
