zip_code,sector,year,quarter,co2_emissions_no_solar_tons,co2_emissions_with_solar_tons,electricity_cost_no_solar_usd,electricity_cost_with_solar_usd
91913,c,2026,2,0,0,0,0
91913,c,2026,3,0,0,0,0
91913,c,2026,4,0,0,0,0
91913,c,2027,1,0,0,0,0
91913,c,2027,2,0,0,0,0
91913,c,2027,3,0,0,0,0
91913,c,2027,4,0,0,0,0
91913,c,2028,1,0,0,0,0
91913,c,2028,2,0,0,0,0
91913,c,2028,3,0,0,0,0
91913,c,2028,4,0,0,0,0
91913,r,2026,1,43143.88,41818.52,416897.57,131083.51
91913,r,2026,2,42802.74,43372.56,403722.46,127934.73
91913,r,2026,3,75602.63,85560.34,699301.75,226219.96
91913,r,2026,4,69332.17,72143.65,705352.57,203212.34
91913,r,2027,1,41851.02,45239.71,436945.02,134163.76
91913,r,2027,2,43406.94,40099.89,426449.09,136845.93
91913,r,2027,3,85630.43,72578.21,754066.52,240797.48
91913,r,2027,4,72204.34,72739.22,677374.46,194452.49
91913,r,2028,1,45274.86,47415.16,447212.53,124709.79
91913,r,2028,2,40131.67,42357.22,456153.1,128863.93
91913,r,2028,3,72637.67,78262.07,802658.26,217896.89
91913,r,2028,4,72800.41,69853.99,648174.97,181621.7
91914,c,2026,1,0,0,0,0
91914,c,2026,2,0,0,0,0
91914,c,2026,3,3368.62,0,31436.49,9402.12
91914,c,2026,4,0,0,0,0
91914,c,2027,1,0,0,0,0
91914,c,2027,2,0,0,0,0
91914,c,2027,3,3054.74,0,31340.4,8737.77
91914,c,2027,4,0,0,0,0
91914,c,2028,1,0,0,0,0
91914,c,2028,2,0,0,0,0
91914,c,2028,3,3450.64,0,29125.89,8519.45
91914,c,2028,4,0,0,0,0
91914,r,2026,1,6300.72,6842.41,63462.02,18143.88
91914,r,2026,2,4230.91,4298.3,39235.32,12695.88
91914,r,2026,3,11938.3,12769.84,123173.43,37425.2
91914,r,2026,4,10005.99,9197.26,97615.25,26146.3
91914,r,2027,1,6847.76,6894.83,60479.59,20706.52
91914,r,2027,2,4301.48,3901.23,42319.6,12799
91914,r,2027,3,12782.21,12777.27,124750.65,42018.43
91914,r,2027,4,9205.05,10068.91,87154.35,27126.65
91914,r,2028,1,6900.22,6570.8,69021.74,17377.99
91914,r,2028,2,3904.12,4207.91,42663.34,12505.52
91914,r,2028,3,12789.65,12940.89,140061.44,33242.62
91914,r,2028,4,10077.44,8989.88,90422.17,27421.62
91915,c,2026,1,29508.58,28740.06,203126.74,57691.17
91915,c,2026,2,0,0,0,0
91915,c,2026,3,7441.88,0,71874.06,18505.59
91915,c,2026,4,36864.66,36541.85,320044.13,87212.05
91915,c,2027,1,28786.07,30107.48,192303.89,63717.19
91915,c,2027,2,0,0,0,0
91915,c,2027,3,7021.87,0,61685.3,19760.86
91915,c,2027,4,36599.06,42363.35,290706.84,78812.67
91915,c,2028,1,30155.67,28503.31,212390.62,58833.53
91915,c,2028,2,0,0,0,0
91915,c,2028,3,7889.28,0,65869.52,19901.92
91915,c,2028,4,42429.68,38480.05,262708.91,92455.53
91915,r,2026,1,31957.19,31304.69,283143.26,86351.35
91915,r,2026,2,26984.97,30520.12,295265.55,85541.81
91915,r,2026,3,52893.72,50059.42,470770.18,132304.47
91915,r,2026,4,37079.39,43489.82,376619.27,116152.65
91915,r,2027,1,31329.37,30743.09,287837.83,76666.94
91915,r,2027,2,30544.66,29367.62,285139.37,87658.24
91915,r,2027,3,50109.16,48878.55,441014.91,136664.46
91915,r,2027,4,43528.29,38943.95,387175.52,110230.01
91915,r,2028,1,30767.32,31252.82,255556.47,82360.23
91915,r,2028,2,29391.23,28360.45,292194.13,80002.5
91915,r,2028,3,48927.11,45789.15,455548.19,144684.18
